,product_description,category,id
0,mirror wall art posted nisha dining living room furniture mirrors clocks ornaments wokingham february size xcm,"Home & Garden / Dining, Living Room Furniture / Mirrors, Clocks & Ornaments",243809c0-9cfc-4486-ad12-3b7a16605ba9
1,morphy richards model stainless steel tier stackable food steamer litre capacity litre rice tray easy clean used dishwasher ideal family cookingserves personbrand new never used still original packaging,Home & Garden / Other Household Goods,1c58d3f9-8b93-47ea-9415-204fcc2a22e6
2,collection dont drive ono,Home & Garden / Garden & Patio / Outdoor Settings & Furniture,860673f1-57f6-47ba-8d2f-13f9e05b8f9a
3,great reclaimed army ammunition box used coffee side tableoriginal text detail latchs leather handle metal corners fantastic patinareal statement piece one two boxes sameblack steel prong hairpin legstotal cm cm widecm longcm inch highbox inch cm deepblack hairpin legs cm inch come floor protectors wanted collection kilmersdon somerset batd deliver locally small fee,"Home & Garden / Dining, Living Room Furniture / Other",59948726-29be-4b35-ade5-bb2fd7331856
12,new box needed spotlights posted sue home garden household goods newent february,Home & Garden / Other Household Goods,5707be4f-49d9-4feb-b2c8-aa0868405c65
13,call dustin day day delivery anywhere london miles outside londonpay arrival peace mind marsylia wardrobe provides huge storage space keep everything well organized available range different colours sizes finishing first half wardrobe features hanging space half entail shelves also add additional hanging rails shelves store clothes like want features fulllength mirror one door allowing check outfit looks leave mirror reflects light inside place wardrobe near window make bedroom look spacious features marcylia wardrobe highquality laminated boardfulllength mirror doorits resistant damage scratches high temperaturesentails builtin led lightcustomizable interiorentails shelves hanging railstylish metal handles metal runners hingesclassic neutral colour suit decors colours glossy black white dimensions w x x h cm door cm width x cm height x cm depthprice sliding door cm width x cm height x cm depth price divan beds ltd building hopton roadwoolwich london united kingdomse tlcompany number,"Home & Garden / Beds & Bedroom Furniture / Wardrobes, Shelving & Storage / Private",d2244a7b-aef4-4495-aff7-0c55bf512d6e
14,selling family member brand new big unable open door attached,Home & Garden / Other Household Goods,485edc04-7bbc-430a-9430-f05a77f5a917
15,double pine bed frame good condition reasonable offer consideredeasy assemble buyer collect,Home & Garden / Beds & Bedroom Furniture / Double Beds / Private,7e538445-c75e-4802-8dc5-a9083a802278
16,distressed solid pine table chairs excellent condition always covered table measures cmxcmtable doesnt dismantle would require van pick could delivered locally open sensible offers,"Home & Garden / Dining, Living Room Furniture / Dining Tables & Chairs",1a64843d-72f3-4141-946f-fa9b978fe755
17,corner dimensionwidth cm x cmheight cmdepth cm seater measurementslength cmheight cmdepth cm seater measurementslength cmheight cmdepth cmdepth seat cm front pillowsofa manufactured produced united kingdomdurable construction,"Home & Garden / Dining, Living Room Furniture / Sofas, Armchairs & Suites / Private",ac514199-1ceb-4703-902d-4d8c55bea7e4
18,storage unit book shelf please see photos condition thanks please see ads,Home & Garden / Other Household Goods,f36672f9-fbe5-40ac-8f5d-015c660c3304
19,pine king sized bedframe originally ikea disassemble needed arrive collect youd like look first comes parts assembly tools also link pdf instructions great condition smoke pet free home collection,Home & Garden / Beds & Bedroom Furniture / Other Bedroom Furniture & Accs,5f5f57d7-778f-4336-bb10-b43863418c8c
20,working water pump sump pump used time ago several years kept garage reasonable conditionhappy take offers needs go quickly due house sold,Home & Garden / Garden & Patio / Outdoor Settings & Furniture,c2c8949f-3cde-4651-a234-4a4a1b2a9ad4
21,ranges sizes available long short term hire available contact information,Home & Garden / Garden & Patio / Outdoor Settings & Furniture,8292aa4e-7f1b-4655-bf0e-f1f2c9e3ffaf
22,pewter ceiling light ceiling light posted suzan dining living room furniture lighting fittings melrose february,"Home & Garden / Dining, Living Room Furniture / Lighting & Fittings",a7500af0-25a1-447d-a67a-c575a82f0657
