,label,category,image_name,image_array
0,clothes_footwear_accessories,9,8de5ca28-bd97-42df-98eb-7bc2eb5503be,[0. 0. 0. ... 0. 0. 0.]
1,phones_mobile_phones_telecoms,12,8061626e-376c-437a-8f48-4ac38e480cb9,[0. 0. 0. ... 0. 0. 0.]
2,health_beauty,4,59c9ee19-48e9-47e0-9635-eaa5b2cb8e4c,[0. 0. 0. ... 0. 0. 0.]
3,other_goods,8,6946affd-4b40-4c49-ae57-29a35531f69e,[0.         0.         0.         ... 0.00784314 0.         0.        ]
4,health_beauty,4,99816296-3e6f-40a5-86df-9c41c3b809a6,[0.         0.         0.         ... 0.00784314 0.         0.        ]
5,home_garden,1,08f7aa4a-5f14-4204-9f6c-1fa07b852af8,[0.         0.         0.         ... 0.01960784 0.01568628 0.01568628]
6,office_furniture_equipment,2,e9699817-78c5-4b50-bc91-b176809fdbf6,[0.01568628 0.01568628 0.01176471 ... 0.01960784 0.01960784 0.01960784]
7,office_furniture_equipment,2,fcad603e-40d2-450f-84db-7d35cad70d17,[0. 0. 0. ... 0. 0. 0.]
8,health_beauty,4,f48f760d-60cb-4bfa-9f1b-d272d7eb8a09,[0.         0.         0.02352941 ... 0.03529412 0.0627451  0.07450981]
9,home_garden,1,f6e116fe-3994-466b-91fa-6951609f8165,[0.         0.         0.00392157 ... 0.         0.         0.        ]
10,office_furniture_equipment,2,d18140ee-7cf6-44fb-bc1e-647fbbfbd6ef,[0.         0.09019608 0.         ... 0.         0.08627451 0.        ]
11,computers_software,11,5de1be7e-53a1-4d24-9c6f-23c23688b8db,[0.01568628 0.01176471 0.01176471 ... 0.         0.         0.        ]
12,office_furniture_equipment,2,17ed5b7b-8677-4a2a-864f-87b0e15ae37a,[0.         0.         0.01568628 ... 0.         0.         0.        ]
13,phones_mobile_phones_telecoms,12,781cecbf-efb4-4ec9-b085-9c5736e15fa1,[0.         0.         0.         ... 0.00784314 0.         0.        ]
14,diy_tools_materials,3,46866564-89fd-4455-999a-711da0b1b9ac,[0.01176471 0.01176471 0.00392157 ... 0.         0.         0.        ]
15,appliances,5,c1eb7a81-94e2-4e23-bce5-924f0a751c57,[0. 0. 0. ... 0. 0. 0.]
16,video_games_consoles,10,c51b0110-a535-4931-84ba-65307ced9b4a,[0.02352941 0.00392157 0.00392157 ... 0.01960784 0.00784314 0.01568628]
17,clothes_footwear_accessories,9,5ecfe534-eb08-44e3-806c-295f78754efe,[0.00392157 0.01960784 0.00784314 ... 0.         0.01568628 0.00784314]
18,video_games_consoles,10,f71820ef-84a9-464e-b2ae-e39bc65ebd1e,[0. 0. 0. ... 0. 0. 0.]
19,video_games_consoles,10,4d4f910d-1cb4-4a95-ace3-69ba6c3d1fef,[0. 0. 0. ... 0. 0. 0.]
20,appliances,5,af861a6c-d629-4df6-80c6-62079bce845a,[1.         1.         0.99607843 ... 0.9843137  0.99215686 0.99215686]
21,appliances,5,2fffde99-055a-488c-8e5b-c3e4465ee18c,[0.01176471 0.01176471 0.01176471 ... 0.         0.         0.        ]
22,video_games_consoles,10,29c62041-fe52-4379-9995-0e1751f84e1d,[0.         0.01176471 0.         ... 0.         0.         0.        ]
23,video_games_consoles,10,ddbd88bd-6393-4db5-a009-765d10698aae,[0.02352941 0.01568628 0.01568628 ... 0.03529412 0.02745098 0.01960784]
24,office_furniture_equipment,2,5c12fb5f-7940-4ddb-a0cb-7e2707104f21,[0.         0.         0.         ... 0.         0.00784314 0.00784314]
25,phones_mobile_phones_telecoms,12,1d7daf4f-bf66-4e13-8824-53590baf4540,[0.         0.         0.         ... 0.         0.00784314 0.00784314]
26,home_garden,1,744f71d3-ad60-49a0-bbde-617f4d8bb302,[0.         0.         0.         ... 0.00784314 0.00784314 0.        ]
27,sports_leisure_travel,0,732ca811-511a-4586-b647-b510a88aed87,[0. 0. 0. ... 0. 0. 0.]
28,clothes_footwear_accessories,9,1bd699b9-dfde-4a50-857b-2fcd6b7d187e,[0.         0.         0.         ... 0.00784314 0.         0.        ]
29,office_furniture_equipment,2,ff933077-7144-49a6-9c7e-42950cc3d319,[1. 1. 1. ... 1. 1. 1.]
30,computers_software,11,3c4c2b55-c33f-4826-bde3-6625e4981e6a,[0.         0.         0.         ... 0.01960784 0.01568628 0.01568628]
31,home_garden,1,c83ba0e1-e862-4ec0-b3da-f62f378dc128,[0.00392157 0.         0.         ... 0.01568628 0.01568628 0.01568628]
32,diy_tools_materials,3,2463a469-400c-4732-8b41-12b2c507c8e2,[0.01176471 0.01176471 0.00392157 ... 0.         0.00784314 0.00784314]
33,appliances,5,f68c381f-580b-46c9-9e47-ab30734e6ece,[0.01176471 0.01176471 0.01176471 ... 0.         0.         0.        ]
34,home_garden,1,ef86d838-9857-43d6-8cdb-9fca71cc664b,[0.01176471 0.01176471 0.01176471 ... 0.01568628 0.01960784 0.02745098]
35,baby_kids_stuff,6,54eddb67-19c1-457b-b625-e27ceb9e206c,[0.         0.         0.         ... 0.         0.00784314 0.01960784]
